Campaign report
"May 1, 2022 - May 20, 2022"
Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign type,Campaign ID,Impr.,Views,View rate,Avg. CPV,Cost,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Earned views,Earned playlist additions
Paused,DollBeauty_12082018, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1505567182,0,0, --, --,0, --, --, --, --,0,0
Paused,Lego_Brick Rising_Lego Prison Break_1802, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,9428394883,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Shape Doll Girls_1802, --,VND,100000,Daily,Paused,campaign paused,Video,12362877504,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Unicorn Vs Rainbow_0807, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,13825950467,0,0, --, --,0, --, --, --, --,0,0
Enabled,HM_Annie Storytime_Discovery_MOMMY LONG LEGS_0405, --,VND,200000,Daily,Eligible (Limited),limited by budget; unknown,Video,17147916935,"1,210,271","157,049",12.98%,22,3441271,55.54%,36.66%,28.13%,4.35%,"46,169",72
Paused,HM_WOA Doll Crafts_Discovery_Barbie's New_1503, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12546817844,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Cakes_Instream_Silver Girl_0802, --,VND,100000,Daily,Paused,campaign paused,Video,12288384896,0,0, --, --,0, --, --, --, --,0,0
Paused,KIDS TV INSTREAM T11, --,VND,350000,Campaign Total,Paused,campaign paused; campaign ended; most ads disapproved,Video,1634008791,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Ballerina SQUID GAME_1103, --,VND,200000,Daily,Paused,campaign paused; unknown,Video,16539940208,0,0, --, --,0, --, --, --, --,0,0
Paused,Dolls Beauty Discovery, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1497756941,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Dolls Beauty_Discovery_Fat and Thin_0909, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14579173885,0,0, --, --,0, --, --, --, --,0,0
Paused,Doll Beauty_Instream_0805, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1873748051,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts ES_Discovery_De Papel_1503, --,VND,100000,Daily,Paused,campaign paused,Video,12546886945,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Tiny Hamster_2203, --,VND,100000,Daily,Paused,campaign paused,Video,12600501783,0,0, --, --,0, --, --, --, --,0,0
Paused,Dolss MakeUp Discovery T11, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1640837931,0,0, --, --,0, --, --, --, --,0,0
Paused,Doll _Discovery_1805, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1922254762,0,0, --, --,0, --, --, --, --,0,0
Paused,Doll Beauty_Discovery_10k_2405, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1951818214,0,0, --, --,0, --, --, --, --,0,0
Paused,Lego_Brick Rising_Magician Fail_1802, --,VND,70000,Daily,Paused,campaign paused; most ads disapproved,Video,9425364450,0,0, --, --,0, --, --, --, --,0,0
Enabled,HM_WOA Doll Crafts _Discovery_Pink Or Blue House_0405, --,VND,200000,Daily,Eligible (Limited),limited by budget; unknown,Video,17139598216,"907,872","153,315",16.89%,22,3401695,21.76%,11.29%,6.33%,1.61%,"186,933",780
Paused,HM_WOA Doll Crafts_Discovery_Hot Pregnant_2004, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12797471938,0,0, --, --,0, --, --, --, --,0,0
Paused,KIDS TV2 Discovery T11, --,VND,70000,Daily,Paused,campaign paused; most ads disapproved,Video,1636372968,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Elsa Disney_1705, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,13123058086,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Rapunzel and Sadako_2909, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14812724111,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Cakes_Discovery_Favourite Oreo_2203, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12598913429,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Channel_Discovery_Angel Pregnant_1901, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,15921096880,0,0, --, --,0, --, --, --, --,0,0
Paused,Laugh Out Loud_Discovery_Funny Trouble_2310, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,7233410307,0,0, --, --,0, --, --, --, --,0,0
Paused,Woa Doodle_Discovery_Car_1311, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,8080979748,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Cakes_Discovery_Silver Girl_1901, --,VND,200000,Daily,Paused,campaign paused,Video,12118749724,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Unique Rainbow Cake_2302, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12404722021,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Spa Beauty_0505, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12970612041,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery_Peppa Pig_1907, --,VND,200000,Daily,Paused,campaign paused; most ads disapproved,Video,13948773775,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Best Fresh Fruit_2203, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12599858134,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Channel_Discovery_Hot Bride_1201, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,15844772086,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Babybus Mobile_1907, --,VND,200000,Daily,Paused,campaign paused; unknown,Video,13948741390,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Squid Game Doll's_1011, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,15231542396,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Rainbow Skirt Mermaid_1503, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12548558298,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Angels and Vampire_0806, --,VND,200000,Daily,Paused,campaign paused; unknown,Video,13433477687,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Hello Kitty Party_0308, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14134706133,0,0, --, --,0, --, --, --, --,0,0
